DATE,FARM,CT_ID,VID,IMG,TIME,TEMP (C),QUANTITY,ANIMAL,MATURITY,SEX,MOVEMENT_TO,EATING_CROP,HUNTING,IN FENCE,SPECIES,NOTE
"June 25, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_deer1_R3 and PUC_CT_NF_deer1.2_R3,PUC_CT_NF_deer1_R3 and PUC_CT_NF_deer1.2_R3,18:20:20,36,1,deer,Adult,male,W,FALSE,FALSE,TRUE,,deer walked under the fence
"June 25, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer8_R3,PUC_CT_N_deer8_R3,21:01,24,1,deer,Adult,female,W,TRUE,FALSE,FALSE,,
"June 26, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer9_R3,PUC_CT_N_deer9_R3,10:50,43,1,deer,Adult,female,N,FALSE,FALSE,FALSE,,
"June 26, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer10_R3,PUC_CT_N_deer10_R3,17:55,40,2,deer,Adult,female,E,TRUE,FALSE,FALSE,,Something scares them and they run
"June 26, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer11_R3,PUC_CT_N_deer11_R3,18:46,38,4,deer,Adult,,W,TRUE,FALSE,FALSE,,
"June 26, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer12_R3,PUC_CT_N_deer12_R3,19:28,33,1,deer,Adult,female,E,TRUE,FALSE,FALSE,,
"June 26, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer13_R3,PUC_CT_N_deer13_R3,19:45,30,3,deer,Adult,mixed,E,TRUE,FALSE,FALSE,,
"June 26, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer14_R3,PUC_CT_N_deer14_R3,20:07,28,8,deer,Mixed,mixed,W,TRUE,FALSE,FALSE,,"7 in foreground, 1 in background. "
"June 26, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer15_R3,PUC_CT_N_deer15_R3,20:46,26,4,deer,Mixed,mixed,N,TRUE,FALSE,FALSE,,
"June 27, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer16_R3,PUC_CT_N_deer16_R3,17:33,39,1,deer,Adult,female,,TRUE,FALSE,FALSE,,pulls up a couple of whole corn crops
"June 27, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer17_R3,PUC_CT_N_deer17_R3,18:42,41,2,deer,Adult,female,W,TRUE,FALSE,FALSE,,
"June 27, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer18_R3,PUC_CT_N_deer18_R3,19:49,33,3,deer,Adult,mixed,,TRUE,FALSE,FALSE,,
"June 27, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer19_R3,PUC_CT_N_deer19_R3,19:53,32,10,deer,mixed,mixed,W,TRUE,FALSE,FALSE,,Good picture
"June 27, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer20_R3,PUC_CT_N_deer20_R3,20:41,26,1,deer,Adult,female,E,TRUE,FALSE,FALSE,,
"July 2, 2019",PU Corn,PUC_CT_S,,PUC_CT_S_deer1_R4,0:30:55,17,1,deer,Adult,Female,W,TRUE,FALSE,FALSE,,no accompanying video
"July 7, 2019",PU Corn,PUC_CT_EF,PUC_CT_EF_deer1_R4,PUC_CT_EF_deer1_R4,0:13,22,2,deer,Adult,female,N,TRUE,FALSE,TRUE,,
"July 4, 2019",PU Corn,PUC_CT_W,PUC_CT_W_deer1_R4,PUC_CT_W_deer1_R4,2:02:56,22,1,deer,Adult,female,E,FALSE,FALSE,FALSE,,
"July 6, 2019",PU Corn,PUC_CT_EF,PUC_CT_E_geese,PUC_CT_E_geese,9:53,33,18,geese,mixed,mixed,S,FALSE,FALSE,TRUE,,
"July 7, 2019",PU Corn,PUC_CT_W,PUC_CT_W_deer2_R4,PUC_CT_W_deer2_R4,3:14:14,24,2,deer,adult,female,E,TRUE,FALSE,FALSE,,
"July 6, 2019",PU Corn,PUC_CT_W,PUC_CT_W_deer3_R4,PUC_CT_W_deer3_R4,1:42:47,24,1,deer,adult,female,E,TRUE,FALSE,FALSE,,
"July 4, 2019",PU Corn,PUC-CT_W,PUC_CT_W_deer4_R4,PUC_CT_W_deer4_R4,2:27:28,22,1,deer,adult,female,N,TRUE,FALSE,FALSE,,
"July 7, 2019",PU Corn,PUC_CT_W,PUC_CT_W_deer5_R4,PUC_CT_W_deer5_R4,2:06-2:18,23,1,deer,adult,female,,TRUE,FALSE,FALSE,,this deer is going in a lot of different directions
"July 6, 2019",PU Corn,PUC_CT_W,,PUC_CT_W_deer6_R4,3:15,25,1,deer,adult,female,S,TRUE,FALSE,FALSE,,
"July 6, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_bird_R4,,11:17,40,1,bird,adult,,S,FALSE,FALSE,FALSE,,
"July 7, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_bird2_R4,,17:32,36,1,bird,adult,,,FALSE,FALSE,FALSE,,
"July 3, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_D1_R4,PUC_CT_NF_D1_R4,21:16:25,26,1,deer,adult,female,S,FALSE,FALSE,FALSE,,she's thinking about getting into the fence
"July 5, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_D2_R4,PUC_CT_NF_D2_R4,4:54:37,22,1,deer,adult,female,E,FALSE,FALSE,FALSE,,walking along the fence line
"July 5, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_D3_R4,PUC_CT_NF_D3_R4,21:16,26,1,deer,adult,female,E,FALSE,FALSE,TRUE,,jumping out of the fence
"July 7, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_D4_R4,PUC_CT_NF_D4_R4,21:08,75,2,deer,adult,female,NE,FALSE,FALSE,TRUE,,jumping in and out of the fence
"July 9, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_B1_R5,PUC_CT_NF_B1_R5,18:00,39,1,bird,,,,FALSE,FALSE,FALSE,,
"July 7, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_B2_R5,PUC_CT_NF_B2_R5,8:48,35,1,bird,,,,FALSE,FALSE,FALSE,,
"July 10, 2019",PU Corn,PUC_CT_NF,,PUC_CT_NF_B3B4_R5,19:26,35,2,bird,,,,FALSE,FALSE,FALSE,,
"July 11, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_B5_R5,PUC_CT_NF_B5_R5,9:26,39,1,bird,,,,FALSE,FALSE,FALSE,,
"July 11, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_B5_R5,PUC_CT_NF_B5_R5,13:56,34,1,bird,,,,FALSE,FALSE,FALSE,,
"July 12, 2019",PU Corn,PUC_CT_NF,,PUC_CT_NF_D1_R5,19:11,33,1,deer,adult,female,N,FALSE,FALSE,TRUE,,
"July 12, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_fox_R5,PUC_CT_NF_fox_R5,21:50,21,1,fox,adult,,,FALSE,TRUE,TRUE,,
"July 12, 2019",PU Corn,PUC_CT_S,,PUC_CT_S_D1_R5,1:14,22,1,deer,adult,female,E,FALSE,FALSE,TRUE,,
"July 14, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D5_R5,PUC_CT_W_D5_R5,23:31,21,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 15, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D4_R5,PUC_CT_W_D4_R5,2:23,17,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 12, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D3_R5,PUC_CT_W_D3_R5,1:18,23,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 11, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D1_R5,PUC_CT_W_D1_R5,21:52,22,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 14, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D6_R5,,22:36,21,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 13, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D7_R5,,21:17,24,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 12, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D8_R5,,4:25,22,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 12, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D9_R5,PUC_CT_W_D9_R5,3:07,22,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 17, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D1_R6,PUC_CT_W_D1_R6,1:19,24,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 18, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D2_R6,PUC_CT_W_D2_R6,3:13,24,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 19, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D3_R6,,19:37,34,1,deer,adult,female,,FALSE,FALSE,FALSE,,
"July 20, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D4_R6,PUC_CT_W_D4_R6,2:16,26,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 20, 2019",PU Corn,PUC_CT_W,PUC_CT_W_D5_R6 and PUC_CT_W_D6_R6,PUC_CT_W_D5_R6,4:37,25,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 19, 2019",PU Corn,PUC_CT_E,PUC_CT_E_D1_R6,PUC_CT_E_D1_R6,1:26,34,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 21, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_D1_R6,PUC_CT_NF_D1_R6,13:14,47,1,deer,adult,female,,FALSE,FALSE,TRUE,,
"July 21, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_D2_R6,PUC_CT_NF_D2_R6,19:12,40,1,deer,adult,female,,FALSE,FALSE,TRUE,,
"July 17, 2019",PU Corn,PUC_CT_NF,PUC_CT_NF_F1_R6,PUC_CT_NF_F1_R6,0:44,24,1,fox,adult,,,FALSE,TRUE,TRUE,,
"July 16, 2019",PU Corn,PUC_CT_S,PUC_CT_S_D1_R6,PUC_CT_S_D1_R6,19:36,38,1,deer,adult,female,,TRUE,FALSE,FALSE,,
"July 21, 2019",PU Corn,PUC_CT_EF,PUC_CT_EF_D1_R6,PUC_CT_EF_D1_R6,13:50,46,1,deer,adult,female,,FALSE,FALSE,TRUE,,
"July 21, 2019",PU Corn,PUC_CT_EF,PUC_CT_EF_D2_R6,PUC_CT_EF_D2_R6,19:18,44,1,deer,adult,female,,FALSE,FALSE,TRUE,,
